2025-02-11 21:03:53,219 - INFO - Starting event ingestion...
2025-02-11 21:03:53,247 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036bc4f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,248 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036bfd60>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,249 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036bcfd0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,250 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036c9f40>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,250 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036d38e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,251 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036da2e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,253 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036dad30>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,253 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036ede20>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,255 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103702130>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,255 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036ed700>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,257 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103716130>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,257 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10370b9d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,258 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103716d60>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,259 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10371ea30>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,262 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103729160>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,262 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10373d1f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
